Text,Spam
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
Win a million dollars now!,1
Meeting agenda for tomorrow,0
"URGENT: Account locked, please click here",1
Can we reschedule our lunch?,0
Buy cheap pills online,1
Here is the project report you requested,0
Claim your free vacation today,1
Happy birthday! Hope you have a great day,0
